column0,column1,column2
Aaradhana Hospital and Maternity Home,"Address: 1St Floor, Shiv-Shakti Complex, OppositeVaibhav Cinema, V.V.Nagar, -Anand, Anand, Gujarat, 388120","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaradhna Hospital,"Address: Nana Kumbhnath Road, Nadiad, Kheda, Gujarat, 387001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaram Hospital,"Address: Beside Diamond Jubilee Bank, Salabatpura, Main Road, Surat, Gujarat, 395003","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaram Nursing Home-Baroda,"Address: Behind Maharani School, Raopura, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarambh Heart and Medical Hospital,"Address: 202-203, Aarambh Complex, Near Ankur Bus Stop, Naranpura, Ahmedabad, Gujarat, 380013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aargyam Multi Speciality Clinical Care,"Address: Plot No. 154, Co-Opporative, Bokaro, Jharkhand, 827001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarif Nursing Home,"Address: 10-36-8, Lane Beside, Royal Fort, Hotel Ramnagar, Opp . Gvmc Out Gate, Visakhapatnam, Andhra Pradesh, 530002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarna Medical Hospital,"Address: 107, Devraj Math, India Colony Road, Bapu Nagar, Ahmedabad, Gujarat, 382350","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarna Super Speciality Hospital,"Address: Opposite Suvidha Shopping Centre, Near Parimal Under Bridge, Ahmedabad, Gujarat, 380007","Contact: Emergency Number: 079 40108108, Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogya Hospital,"Address: 1303- P, Sector-21, New Grain Market Road, Panchkula, Haryana, 134109","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogya Hospital,"Address: Opposite Kuber Apartment, Near Ashok Tower Chowk, Shankar Nagar, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogya Hospital,"Address: Post Office Rd, Bihta, Patna, Bihar, 801103","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogya Orthopaedic and Trauma Clinic,"Address: Opposite Durga Temple Off Ram Krishna Avenue, Patna, Bihar, 800003","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogyadham Charitable Eye Hospital (A Unit Of Aar),"Address: Opp Atlas Mandir, Atlas Road, Sonipat, Haryana, 131001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogyadham Nursing Home,"Address: Near Govt School, Market Area, Hirapur Rd Mahoba Bazar, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogyam Hospital,"Address: Huda, Sector-18 Road, Jagadhri, Yamunanagar, Haryana, 135001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarogyam Speciality Hospital,"Address: Soham Complex, Opp Ganesh Tower Soham Complex, Opp Ganesh Tower Navrangapura, Ahmedabad, Gujarat, 380014","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaroh Hospital,"Address: Opposite Jain Publichigh School, New Civil Hospital, Circular Road, Rewari, Haryana, 123401","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaroyha Mandir Hospital,"Address: NA, Bengaluru Urban, Karnataka, 560002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarti Hospital and Maternity Home,"Address: Near Railway Bridge Doctor House Area Palanpur, Banas kantha, Gujarat, 385001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarti Maternity and Surgical Hospital,"Address: OppositeGayatri Temple, Green House, Highway, Deesa, B'kantha, Banas kantha, Gujarat, 385535","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarti Nursing Home,"Address: Teshil Road, Panipat, Haryana, 132103","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarti Surgical Nursing Home,"Address: 3, Vinay Shopping Centre Maninagar, Ahmedabad, Gujarat, 380008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaruni Hospital Pvt Ltd,"Address: Next To Holy Saint School Jaimal Parmar Marg Kalawad Road Rajkot, Rajkot, Gujarat, 360001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarvy Hospital,"Address: 530/18, Opp Nehru Stadium Civil Lines, Delhi- NCR, Gurgaon, Haryana, 122001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarvy Hospital/ Aary Hospital,"Address: 530/18 Civil Lines Opposite Nehru Stadium, Near Court, Gurgaon, Haryana, 122001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarya Spiral Ct Scan Centre,"Address: Pehowa Road, Kaithal, Haryana, 136027","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aarya Swashthya Seva Sansthan,"Address: Purani Jail Road, Nawada, Bihar, 805110","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaryan Institute Of Medical Science,"Address: Aims Hospital, Nr. Nava Naka, Swaminarayan Temple Road Opposite Brahmpuri Society, Kachchh, Gujarat, 370465","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aash Arthoscopy Centre,"Address: Sonal Nursing Home, Opposite Jalaram Mandir Shitalbaug, Paldi, Ahmedabad, Gujarat, 380007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aash Arthroscopy Centre - Ahmedabad,"Address: Sonal Nursing Home, In Opposite Lane Of Jalaram Mandir, Paldi, Ahmedabad, Gujarat, 380013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aash Surgical Hospital,"Address: 1St Floor, Subhlaxmi Complex, Opposite Sanghvi School Naran Pura, Ahmedabad, Gujarat, 380013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aasha Hospital,"Address: Near Kaveri Hotel, S.T. Road, Veraval, Junagadh, Gujarat, 362265","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aasha Hospitals,"Address: 7/201, Court Road, Anantapur 515001, Anantapur, Andhra Pradesh, 515001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aasha Medical And General Hospital,"Address: First Floor, Dadu Shopping Centre, Opp St Stand, Modasa, Sabar kantha, Gujarat, 383315","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashaa The Right Direction,"Address: Sanstha Vasahat Raopura, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashay Eye Hospital,"Address: Above Standard Furniture, OppositeS.T.Bus Stand, Nr.Railway Overbridge, Himatnagar, Sabar kantha, Gujarat, 383001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirvad Paediatric Critical Care Centre,"Address: 209, Silver Coin Complex, Opp Bhavanas Scholl, Vadodara, Gujarat, 390004","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirvad Women's and Childrens Hospital P. Ltd.,"Address: D/2 Sarang Duplex Sindhvhai Mata Road, Nr.Ward No.4 Pratapnagar, Vadodara, Gujarat, 390009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwaad Medical Centre,"Address: Sector-7 & 8, Dayalbagh Enclave, Faridabad, Haryana, 121006","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Eye Hospital and Laser Center,"Address: Near Parsi Hospital Lunsikui, Navsari, Gujarat, 396445","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Fertility and Endoscopy Center,"Address: Danganiya Near Shitla Mandir, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Hospital,"Address: 1, Jain Nagar, Opp Sapphire Hotel Jagadhri Road, Yamunanagar, Haryana, 135002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Laser and Phaco Eye Hospital,"Address: Ig Office Road, Nehru Chowk, Bilaspur, Chhattisgarh, 495334","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Nursing Home,"Address: 259, Mahesh Nagar, Ambala Cantt, Ambala, Haryana, 133001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashirwad Surgical Hospital and Nursing Home,"Address: 2nd Floor, Neelkamal Complex, B/H. Old Kamal Cinema, Ramnagar, Sabarmati, Ahmedabad, Gujarat, 380005","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashish Orthopeadic Hospital,"Address: Nr.Radhavihar Busstop, Modasa, Sabar kantha, Gujarat, 383315","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashna Orthopaedic Hospital,"Address: 3Rd Floor, Arohi Arcade, Nr. Government Tube Well Bopal, Ahmedabad, Gujarat, 380058","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashray Nursing Home,"Address: B-3/1 Shree Ambikaniketan Society, Nr. Fag Maneja Main Road, Vadodara, Gujarat, 390013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashray Nursing Home,"Address: Tilkamanjhi, Haat Road, Bhagalpur, Bihar, 812001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashray Surgical and Trauma Care,"Address: A-11, 1St Floor Gate No. 1, Bhavya Park, Ahmedabad, Gujarat, 380058","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashray Uro-Andrology Clinic,"Address: 103, ?Mangal Ashish?, 31, Sampatrao Colony, Alkapuri, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashu Dental Multispeciality Polyclinic,"Address: Dr K.K Bungalow, Behind Navrangpura Post Office, Navrangpura, Ahmedabad, Gujarat, 380001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashwi E.N.T. Hospital/ Aashwt E.N.T Hospital,"Address: A-405, 406, Himalaya Aroade, OppositeVastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aashwi E.N.T.Hospital,"Address: A/405-406, Himalaya Arcade, Opposite Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Care,"Address: Ja- 11, City Centre, Sector-4, Bakaro Steel City, Bokaro, Jharkhand, 827004","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Children Hospital,"Address: Near Agarwal Dharamshala, Ashoka Enclave (Main), Faridabad, Haryana, 121003","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Children Hospital and Neonatal Care Unit,"Address: Uganda Road, Near Old Fuvara, Porbandar, Gujarat, 360575","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Children Icu,"Address: 1, Panchvati, N.H No-08, Nizampura, Vadodara, Gujarat, 390002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Childrens Hospital,"Address: Green View Hotel Building Gohana Road, Jind, Haryana, 126102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Dental Care and Cure Clinic,"Address: NA, Kangra, Himachal Pradesh, NA","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Eye Care Centre,"Address: Aastha Medical Complex, 2Nd Floor, Prabhat Chowk, Ahmedabad, Gujarat, 380061","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Eye Centre,"Address: 5-P/59, N.I.T, Behind Petrol Pump, Near St. Joseph School, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Eye Hospital,"Address: S. 3/A, Goldcoin Complex, Jodhpur Char Rasta, Satellite Road, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: 8, Abhinandan Lane, New Colony, Palwal, Palwal, Haryana, 121102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: 81-S, Model Town, Hisar, Haryana, 125001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: Asha Complex, Near Patan Pool, Durg, Chhattisgarh, 491107","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: Bhabhar 3 Road, Vinayaknagar, Radhanpur, Patan, Gujarat, 385340","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: Mangla Asthan Rd.Ramchandra Pur Biharsharif, Nalanda, Bihar, 803101","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: No. 403/4, Aishwarya Complex, 2- Prakash Nagar Society, Opposite Shell Petrol Pump, Jawahar Chowk Maninagar, Ahmedabad, Gujarat, 380008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: Pakka Bharo, Hamirpur, Himachal Pradesh, 177001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aastha Hospital,"Address: Panthaghati, Shimla, Himachal Pradesh, NA","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
